Nama,Gender,Usia,Tinggi Badan,Berat Badan,Status,Keterangan
Eko Nugroho,Laki-laki,20,171,64.0,Lolos,Memenuhi Syarat
Daffa Nugroho,Laki-laki,22,171,63.0,Lolos,Memenuhi Syarat
Ridwan Wijaya,Laki-laki,18,173,65.0,Lolos,Memenuhi Syarat
Rina Hasanah,Perempuan,19,159,50.0,Lolos,Memenuhi Syarat
Olivia Setiawati,Perempuan,22,159,52.0,Lolos,Memenuhi Syarat
Daffa Kusuma,Laki-laki,21,174,66.0,Lolos,Memenuhi Syarat
Wahyu Nugroho,Laki-laki,19,172,63.0,Lolos,Memenuhi Syarat
Daffa Pratama,Laki-laki,18,168,62.0,Lolos,Memenuhi Syarat
Dewi Lestari,Perempuan,21,169,59.0,Lolos,Memenuhi Syarat
Bella Wulandari,Perempuan,22,165,56.0,Lolos,Memenuhi Syarat
Yusuf Wijaya,Laki-laki,22,165,60.0,Lolos,Memenuhi Syarat
Farhan Santoso,Laki-laki,18,175,66.0,Lolos,Memenuhi Syarat
Lukman Pratama,Laki-laki,20,176,68.0,Lolos,Memenuhi Syarat
Mila Hasanah,Perempuan,21,159,52.0,Lolos,Memenuhi Syarat
Fajar Santoso,Laki-laki,19,173,67.0,Lolos,Memenuhi Syarat
Sandi Santoso,Laki-laki,21,171,63.0,Lolos,Memenuhi Syarat
Ridwan Pratama,Laki-laki,22,180,71.0,Lolos,Memenuhi Syarat
Tiara Rahayu,Perempuan,19,159,50.0,Lolos,Memenuhi Syarat
Nanda Santoso,Laki-laki,19,170,64.0,Lolos,Memenuhi Syarat
Joko Pratama,Laki-laki,21,164,56.0,Lolos,Memenuhi Syarat
